category,correct_response,game,value,clue
TELEVISION,best boy,"Show #2989 - Thursday, September 4, 1997",400,The best man attends the groom & this person assists the head electrician
FRUITS & VEGETABLES,Quebec,"Show #2989 - Thursday, September 4, 1997",400,"On Oct. 30, 1995 voters in this Canadian province narrowly rejected a proposal for independence"
BEFORE & AFTER,a compass,"Show #2989 - Thursday, September 4, 1997",400,Put the point at the center of the desired circle & swing the pencil around it
SHOPPING U.S.A.,,"Show #2989 - Thursday, September 4, 1997",400,"""Four legs good, "
NUN SENSE,Salmon,"Show #2991 - Monday, September 8, 1997",300,The Chinook religion was based around this fish's annual run
NEWS STORIES OF THE 1700S,St. Bridget,"Show #2991 - Monday, September 8, 1997",300,"This 6th century Irish nun is also known as St. Bride, though she refused to marry"
LAST NAME'S THE SAME,Earl Warren,"Show #2991 - Monday, September 8, 1997",400,"On Sept. 30, 1953, Pres. Eisenhower named this California governor as Chief Justice of the U.S."
LEGENDARY LIONS,Douglas,"Show #2991 - Monday, September 8, 1997",400,"Michael,"
PHOTO OPS,Soupy Sales,"Show #2991 - Monday, September 8, 1997",,(VIDEO Daily Double):  Comedian seen here with his lion pal Pookie:
TRIBES,Beale Street,"Show #2991 - Monday, September 8, 1997",400,"W.C. Handy wrote a song about this Memphis street sometimes referred to as the ""Main Street of Black America"""
NUN SENSE,Cheyenne,"Show #2991 - Monday, September 8, 1997",400,"Their name, from a Sioux term for ""People of Alien Speech"", is shared by the largest city in Wyoming"
NEWS STORIES OF THE 1700S,Sisters of Mercy,"Show #2991 - Monday, September 8, 1997",400,Around 1830 Catherine McAuley founded the sisters of this to care for Dublin's poor & sick
LAST NAME'S THE SAME,the Treaty of Guadalupe Hidalgo,"Show #2991 - Monday, September 8, 1997",500,"Signed February 2, 1848, this treaty ended the Mexican War"
LEGENDARY LIONS,Jordan,"Show #2991 - Monday, September 8, 1997",500,"Michael,"
RUBBER,the Indians,"Show #2989 - Thursday, September 4, 1997",400,1890s outfielder Louis Sockalexis of the Penobscot tribe inspired this name of Cleveland's baseball team
TINSELTOWN TERMS,"""Puttin\' On The Ritz""","Show #2989 - Thursday, September 4, 1997",,(AUDIO Daily Double):
TELEVISION,wrangler,"Show #2989 - Thursday, September 4, 1997",600,This term for a handler of animals on the set can also mean a cowboy
FRUITS & VEGETABLES,Robert Peary,"Show #2989 - Thursday, September 4, 1997",600,"On April 6, 1909 he & his assistant Matthew Henson reached 90 degrees N. latitude"
BEFORE & AFTER,an abacus,"Show #2989 - Thursday, September 4, 1997",600,"To add 14 to another number, shift 4 beads on the 1s wire & 1 bead on the 10s wire"
SHOPPING U.S.A.,,"Show #2989 - Thursday, September 4, 1997",600,"""I have told you, reader, that I had learnt to love Mr. Rochester:  I could not unlove him now"""
RUBBER,tennis,"Show #2989 - Thursday, September 4, 1997",600,In 1875 the All England Croquet Club added this other lawn sport to its activities
TINSELTOWN TERMS,a sitz mark,"Show #2989 - Thursday, September 4, 1997",600,"Skiers who fall on their derrieres leave this German ""mark"" in the snow"
TELEVISION,a script doctor,"Show #2989 - Thursday, September 4, 1997",800,"Medical term for one who revises a script without credit; writer Robert Towne is a ""specialist"""
BEFORE & AFTER,a piton,"Show #2989 - Thursday, September 4, 1997",800,Hammer it into a crack in the rock & clip a carabiner to its eye through which to run rope
SHOPPING U.S.A.,,"Show #2989 - Thursday, September 4, 1997",800,"""Lennie said, 'I might jus' as well go away.  George ain't gonna let me tend no rabbits now.'"""
RUBBER,golf balls,"Show #2989 - Thursday, September 4, 1997",,"They were successively stuffed with feathers, molded of gutta-percha & wound with rubber"
TINSELTOWN TERMS,"""Honey Fitz""","Show #2989 - Thursday, September 4, 1997",800,"John F. Kennedy's maternal grandfather sported this ""sweet"" nickname"
PHOTO OPS,Elsa,"Show #2991 - Monday, September 8, 1997",500,"Lioness that was ""Born Free"" in a Joy Adamson book"
TRIBES,the Arc de Triomphe,"Show #2991 - Monday, September 8, 1997",500,France's Tomb of the Unknown Soldier lies beneath this landmark
NUN SENSE,Navajo,"Show #2991 - Monday, September 8, 1997",500,"As the Cherokee history includes the ""Trail of Tears"", this Southwest tribe has the ""Long Walk"""
NEWS STORIES OF THE 1700S,Mother Superior,"Show #2991 - Monday, September 8, 1997",500,"A convent's top nun, she's told to ""Jump the Gun"" on the Beatles' ""White Album"""
LAST NAME'S THE SAME,Liberty Bell,"Show #2991 - Monday, September 8, 1997",200,"Not all it was cracked up to be, it was recast twice in 1753 before being hung in Philadelphia"
LEGENDARY LIONS,Grauman\'s Chinese Theater,"Show #2991 - Monday, September 8, 1997",200,"On May 19, 1927 this famous theater on Hollywood Boulevard opened with a  showing of ""King of Kings"""
PHOTO OPS,Golda Meir,"Show #2991 - Monday, September 8, 1997",200,She Hebraized her last name in 1956 & later became a prime minister
TRIBES,"""Ask what you can do for your country""","Show #2991 - Monday, September 8, 1997",200,"""And so my fellow Americans:  ask not what your country can do for you...."""
NEWS STORIES OF THE 1700S,Mia,"Show #2991 - Monday, September 8, 1997",200,"Ms. Farrow could tell you this 3-letter word means ""100"" in Swahili"
LAST NAME'S THE SAME,Trevi Fountain,"Show #2991 - Monday, September 8, 1997",400,"In 1762, for the first time, visitors could throw coins in this newly completed Roman fountain"
LEGENDARY LIONS,Rudolf Valentino,"Show #2991 - Monday, September 8, 1997",400,"He ensured there would be no ""Grandson of the Sheik"" just after finishing ""Son of the Sheik"" when he died"
PHOTO OPS,Alan Greenspan,"Show #2991 - Monday, September 8, 1997",400,"At friend Ayn Rand's urging, this economist became an advisor to Richard Nixon"
TRIBES,"""Give me liberty or give me death""","Show #2991 - Monday, September 8, 1997",400,"""I know not what course others may take; but as for me..."""
NEWS STORIES OF THE 1700S,Please,"Show #2991 - Monday, September 8, 1997",400,"Polite people know tafadhali means this & asante means ""Thank You"""
LAST NAME'S THE SAME,Jules Jean-Paul Marat,"Show #2991 - Monday, September 8, 1997",600,"Splish splash, he was taking a bath, when Charlotte Corday stabbed him in 1793"
FROM SOUP TO NUTS,Bill Clinton,"Show #2993 - Wednesday, September 10, 1997",100,"March 14, 1997:  His handicap goes way up after taking a spill down Greg Norman's stairs"
TELEVISION,cut,"Show #2989 - Thursday, September 4, 1997",1000,A jump one is an abrupt transition; a rough one is a stage in editing
BEFORE & AFTER,defibrillator,"Show #2989 - Thursday, September 4, 1997",1000,"Place the electric pads to the chest, press down, yell ""Clear!"" & hit the button"
SHOPPING U.S.A.,,"Show #2989 - Thursday, September 4, 1997",1000,"""'What a pretty little Nell!' cried Quilp."""
RUBBER,ballet,"Show #2989 - Thursday, September 4, 1997",1000,"Jackson Haines, previously a teacher of this art, introduced its moves to figure skating"
TINSELTOWN TERMS,kibitz,"Show #2989 - Thursday, September 4, 1997",1000,"Synonymous with ""meddle"" or ""snoop"", this Yiddish word means to offer unsolicited advice"
LEGENDARY LIONS,"""The Kid""","Show #2991 - Monday, September 8, 1997",600,"In this 1921 Charlie Chaplin - Jackie Coogan film, Coogan's father played 3 roles, including a pickpocket"
PHOTO OPS,Red Auerbach,"Show #2991 - Monday, September 8, 1997",600,In 1995 Lenny Wilkins broke this man's record as the winningest coach of the NBA
TRIBES,"""Only the names have been changed to protect the innocent""","Show #2991 - Monday, September 8, 1997",600,"""The story you are about to see is true...."""
NUN SENSE,Arthur Pitney,"Show #2991 - Monday, September 8, 1997",600,"In 1920 Walter Bowes might have said ""After You!"" to this man when they made America's first postage meters"
NEWS STORIES OF THE 1700S,Maid,"Show #2991 - Monday, September 8, 1997",600,"We wonder if a Swahili-speaking housewife cleans up before this person, the mtumishi wa kike, comes"
LAST NAME'S THE SAME,Seven Years\' War,"Show #2991 - Monday, September 8, 1997",800,"Begun by Frederick the Great's invasion of Saxony, it lasted from 1756 to 1763"
LEGENDARY LIONS,"""Metropolis""","Show #2991 - Monday, September 8, 1997",800,Director Fritz Lang was inspired to make this 1927 German film while viewing the skyscrapers of New York City
PHOTO OPS,Amy Tan,"Show #2991 - Monday, September 8, 1997",800,"You're 100 percent right if you knew she wrote ""The 100 Secret Senses"""
TRIBES,"""I coulda been a contender!""","Show #2991 - Monday, September 8, 1997",,"(VIDEO Daily Double):  ""Look out for me a little bit, you shoulda taken care of me just a little bit so I wouldn't have to take them dives for the short end money;  I had some bets down for you, you saw some money; You know then, I coulda had class..."""
NEWS STORIES OF THE 1700S,"""Daktari""","Show #2991 - Monday, September 8, 1997",800,"Swahili for ""doctor"", it was the title of a 1960s TV series about an animal doctor living in Africa"
NAME THAT MUPPET,clam chowder,"Show #2993 - Wednesday, September 10, 1997",100,Manhattan & New England-style are 2 varieties of this soup
LITERARY SECOND BANANAS,Ernie,"Show #2993 - Wednesday, September 10, 1997",100,"He had a hit with ""Rubber Duckie"""
BAY WATCHING,Friday,"Show #2993 - Wednesday, September 10, 1997",100,Robinson Crusoe had 24 years of solitude prior to rescuing this cannibal & teaching him English
THEM'S FIGHTIN' WORDS,Tampa Bay,"Show #2993 - Wednesday, September 10, 1997",100,"It's the Florida bay that's home to the Buccaneers, the Lightning & the Mutiny"
GENERAL SCIENCE,head,"Show #2993 - Wednesday, September 10, 1997",100,Body part you attempt to remove when knocking someone's block off
FROM SOUP TO NUTS,Pakistan,"Show #2993 - Wednesday, September 10, 1997",200,"November 5, 1996:  This country gives Benazir Bhutto the boot for a second time"
NAME THAT MUPPET,ambrosia,"Show #2993 - Wednesday, September 10, 1997",200,"Once the food of the Greek gods, today, it's a fruit salad"
LITERARY SECOND BANANAS,Kermit the Frog,"Show #2993 - Wednesday, September 10, 1997",200,"""The Muppet Show"" debuted in 1976 with this Muppet as host"
BAY WATCHING,the Artful Dodger,"Show #2993 - Wednesday, September 10, 1997",200,"Charley Bates is the boisterous sidekick to this ""Oliver Twist"" pickpocket"
GENERAL SCIENCE,scrimmage,"Show #2993 - Wednesday, September 10, 1997",200,A rough struggle like the one in a football game after the ball is snapped
FROM SOUP TO NUTS,Prince Rainier,"Show #2993 - Wednesday, September 10, 1997",300,"April 19, 1956: He takes a gamble in Monte Carlo; makes American movie star his bride"
LAST NAME'S THE SAME,"""An Angry God""","Show #2991 - Monday, September 8, 1997",1000,"In 1741 Calvinist Jonathan Edwards gave his fiery sermon entitled ""Sinners in the Hands of "" this"
LEGENDARY LIONS,"""Battleship Potemkin""","Show #2991 - Monday, September 8, 1997",1000,A 1925 film named for this Russian warship was commissioned to commemorate the 1905 Revolution
PHOTO OPS,Harry Blackmun,"Show #2991 - Monday, September 8, 1997",,He wrote the majority opinion in Roe v. Wade
TRIBES,"""To each according to his needs""","Show #2991 - Monday, September 8, 1997",1000,"""From each according to his abilities...."""
NUN SENSE,Steve Jobs,"Show #2991 - Monday, September 8, 1997",1000,"This CEO is the ""Apple"" of Pixar Animation Studios' eye, along with its hit ""Toy Story"""
NEWS STORIES OF THE 1700S,Post Office,"Show #2991 - Monday, September 8, 1997",1000,"A nyumba ya posta, it's a place to send a barua"
NAME THAT MUPPET,Beef Wellington,"Show #2993 - Wednesday, September 10, 1997",300,"It's the dish consisting of a meat fillet covered with pate de foie gras, baked in a pastry"
LITERARY SECOND BANANAS,"Gonzo (""the Great"")","Show #2993 - Wednesday, September 10, 1997",300,"This ""Great"" hooknosed Muppet has a hankering for chickens"
BAY WATCHING,Dr. Watson,"Show #2993 - Wednesday, September 10, 1997",300,"Several Sherlock Holmes stories refer to Miss Mary Morstan, who marries this physician"
THEM'S FIGHTIN' WORDS,Bay of Bengal,"Show #2993 - Wednesday, September 10, 1997",300,In 1639 the East India Company founded the city of Madras on this bay
GENERAL SCIENCE,rumble!,"Show #2993 - Wednesday, September 10, 1997",300,"Boxing announcer Michael Buffer is known for the injunction ""Let's get ready to"" do this"
FROM SOUP TO NUTS,Hirohito,"Show #2993 - Wednesday, September 10, 1997",400,"January 1, 1946:  This Japanese emperor tells his people he is not a god"
NAME THAT MUPPET,strudel,"Show #2993 - Wednesday, September 10, 1997",400,"Apple is the most popular filling for this pastry whose name is German for ""whirlpool"""
LITERARY SECOND BANANAS,Snuffleupagus,"Show #2993 - Wednesday, September 10, 1997",400,"""Sesame Street""'s largest Muppet, his first name is Aloysius"
BAY WATCHING,Sancho Panza,"Show #2993 - Wednesday, September 10, 1997",400,This simple peasant became Don Quixote's squire after being promised an island to rule
THEM'S FIGHTIN' WORDS,Massachusetts,"Show #2993 - Wednesday, September 10, 1997",400,This Atlantic seaboard state is home to the popular resort area of Buzzards Bay
GENERAL SCIENCE,paste,"Show #2993 - Wednesday, September 10, 1997",400,"It means to stick something with glue, or to stick your fist in someone's jaw"
FROM SOUP TO NUTS,Lech Walesa,"Show #2993 - Wednesday, September 10, 1997",500,"December 9, 1990:  Poland shows its solidarity, voting this man president in a runoff election"
NAME THAT MUPPET,filberts,"Show #2993 - Wednesday, September 10, 1997",500,"Hazelnuts are also called these, for the saint on whose day they ripen"
LITERARY SECOND BANANAS,Cookie Monster,"Show #2993 - Wednesday, September 10, 1997",500,"""Sesame Street"" denizen who has appeared on a ""got milk?"" billboard"
BAY WATCHING,Jim,"Show #2993 - Wednesday, September 10, 1997",500,"In ""Huckleberry Finn"", Tom Sawyer says that he & Huck Finn ""have knowed"" this slave ""all his life"""
THEM'S FIGHTIN' WORDS,John Muir,"Show #2993 - Wednesday, September 10, 1997",,(
GENERAL SCIENCE,the 1st Amendment,"Show #2993 - Wednesday, September 10, 1997",500,The Supreme Court has ruled that fighting words are not protected by this amendment
FROM SOUP TO NUTS,Tyrannosaurus Rex,"Show #2993 - Wednesday, September 10, 1997",200,"The ""rex"" in this dinosaur's name is Latin for ""king"", so you could say it's the ""King of the Dinosaurs"""
NAME THAT MUPPET,Traffic Jam,"Show #2993 - Wednesday, September 10, 1997",200,"Commuters hate to be caught in this, a ""fluxus interclusio"""
BAY WATCHING,Samurai,"Show #2993 - Wednesday, September 10, 1997",200,In a 1956 film Takashi Shimura was one of these 7 warriors; John Belushi would have made 8
THEM'S FIGHTIN' WORDS,"Washington, D.C.","Show #2993 - Wednesday, September 10, 1997",200,"Mark Twain called this city ""That grand old benevolent national asylum for the helpless"""
